request_batch,miss_rate,n_reads,gds_p50_us,tutti_v011_p50_us,p50_speedup_gds_over_tutti,gds_p99_us,tutti_v011_p99_us,p99_speedup_gds_over_tutti
1,0.067,137,870.176000,663.791500,1.310918,2162.633510,768.493380,2.814121
1,0.134,274,1530.815500,1297.460000,1.179856,4353.068450,1367.359930,3.183557
1,0.300,614,3264.032000,1901.905500,1.716190,6126.995930,1985.841880,3.085339
4,0.067,549,2820.273000,1729.997500,1.630218,4598.175320,1799.779300,2.554855
4,0.134,1098,5618.097500,3332.080000,1.686063,11889.997330,3423.933870,3.472613
4,0.300,2458,11910.469000,7286.102000,1.634683,19568.642590,7395.623180,2.645976
16,0.067,2195,10561.716000,6518.674000,1.620225,18160.506060,6652.203180,2.729999
16,0.134,4391,24293.296500,12976.780500,1.872059,36051.520220,13150.114350,2.741537
16,0.300,9830,58646.909500,28905.080000,2.028948,94285.482280,29277.773040,3.220378
64,0.067,8782,75242.290500,25872.657000,2.908178,90476.309070,26183.279210,3.455500
64,0.134,17564,159540.717500,51616.003500,3.090916,180729.668850,56590.244140,3.193654
64,0.300,39322,348591.032000,115462.612500,3.019081,386369.994420,126414.659050,3.056370
