local_decode_batch,reference_miss_rate,n_reads,physical_bytes_per_round,effective_miss_rate
1,0.067,137,561152,0.06689453125
1,0.134,274,1122304,0.1337890625
1,0.3,614,2514944,0.2998046875
4,0.067,549,2248704,0.0670166015625
4,0.134,1098,4497408,0.134033203125
4,0.3,2458,10067968,0.300048828125
16,0.067,2195,8990720,0.066986083984375
16,0.134,4391,17985536,0.134002685546875
16,0.3,9830,40263680,0.29998779296875
64,0.067,8782,35971072,0.0670013427734375
64,0.134,17564,71942144,0.134002685546875
64,0.3,39322,161062912,0.3000030517578125
