request_batch,miss_rate,n_reads,gds_historical_p50_us,gds_historical_p99_us,tutti_public_v011_p50_us,tutti_public_v011_p99_us,p50_speedup_gds_over_public,p99_speedup_gds_over_public
1,0.067,137,870.176000,2162.633510,663.791500,768.493380,1.310918,2.814121
1,0.134,274,1530.815500,4353.068450,1297.460000,1367.359930,1.179856,3.183557
1,0.300,614,3264.032000,6126.995930,1901.905500,1985.841880,1.716190,3.085339
4,0.067,549,2820.273000,4598.175320,1729.997500,1799.779300,1.630218,2.554855
4,0.134,1098,5618.097500,11889.997330,3332.080000,3423.933870,1.686063,3.472613
4,0.300,2458,11910.469000,19568.642590,7286.102000,7395.623180,1.634683,2.645976
16,0.067,2195,10561.716000,18160.506060,6518.674000,6652.203180,1.620225,2.729999
16,0.134,4391,24293.296500,36051.520220,12976.780500,13150.114350,1.872059,2.741537
16,0.300,9830,58646.909500,94285.482280,28905.080000,29277.773040,2.028948,3.220378
64,0.067,8782,75242.290500,90476.309070,25872.657000,26183.279210,2.908178,3.455500
64,0.134,17564,159540.717500,180729.668850,51616.003500,56590.244140,3.090916,3.193654
64,0.300,39322,348591.032000,386369.994420,115462.612500,126414.659050,3.019081,3.056370
