backend,request_batch,miss_rate,n_reads,io_size,queue_depth,round,submit_us,completion_us,bytes_read,correct,direct_path,error,phase,submission_group
Tutti-v0.1.1,1,0.067,137,4096,256,0,353.69,739.802,561152,true,public_local_nvme_gpu,,2,16
Tutti-v0.1.1,1,0.067,137,4096,256,0,343.065,727.339,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,1,310.093,700.528,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,2,309.951,694.329,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,3,305.041,688.208,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,4,284.69,677.704,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,5,288.593,698.969,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,6,285.816,674.536,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,7,304.646,692.928,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,8,287.381,691.125,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,9,289.379,682.965,561152,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.067,137,4096,256,0,299.895,691.874,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,1,292.159,670.524,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,2,292.52,674.027,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,3,287.8,678.516,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,4,285.262,681.794,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,5,281.474,666.421,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,6,278.599,667.409,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,7,286.779,673.126,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,8,281.112,667.581,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,9,283.561,680.437,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,10,283.173,671.767,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,11,278.642,667,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,12,283.589,671.421,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,13,285.194,672.413,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,14,289.556,674.912,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,15,297.626,677.063,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,16,297.601,679.038,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,17,289.627,670.392,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,18,290.024,679.66,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,19,283.998,672.333,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,20,274.319,669.022,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,21,287.129,755.958,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,22,278.725,665.348,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,23,279.828,672.749,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,24,278.98,674.91,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,25,320.318,712.987,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,26,295.863,687.598,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,27,290.237,689.181,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,28,495.518,877.827,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,29,346.859,758.423,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,30,300.586,686.559,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,31,289.94,681.182,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,32,294.665,680.848,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,33,287.346,678.413,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,34,285.948,685.661,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,35,281.186,669.418,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,36,280.995,680.043,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,37,284.793,693.433,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,38,318.884,705.435,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,39,296.903,706.822,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,40,284.212,676.313,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,41,315.829,728.828,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,42,285.603,671.168,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,43,296.03,682.814,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,44,293.536,682.955,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,45,290.851,676.904,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,46,274.612,660.414,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,47,283.117,692.622,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,48,275.051,668.431,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,49,284.635,671.517,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,50,271.4,681.261,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,51,292.286,678.742,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,52,291.892,692.694,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,53,300.688,682.711,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,54,301.884,689.917,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,55,287.611,677.85,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,56,298.622,683.948,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,57,279.128,670.963,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,58,285.093,672.362,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,59,268.81,647.216,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,60,276.879,665.648,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,61,266.902,644.266,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,62,276.035,671.992,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,63,265.706,641.335,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,64,285.199,700.605,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,65,267.671,652.317,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,66,273.524,666.729,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,67,265.122,638.017,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,68,275.716,650.064,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,69,269.067,650.629,561152,true,public_local_nvme_gpu,,1,16
