stage,request_batch,miss_rate,n_reads,n_samples,mean_us,p50_us,p95_us,p99_us,submit_mean_us,max_us,rounds_over_100ms,iops_mean,iops_aggregate,bandwidth_gbs_aggregate
A1,1,0.067,137,200,9403.583724999999,886.236,998.88,2171.4323699999873,755.331265,1701578.079,1,155174.92797270083,14568.913725495651,0.05967427061963018
A1,1,0.134,274,200,1641.041535,1545.4769999999999,2002.2902999999992,4353.068449999995,1269.501995,6062.029,0,173788.9698015196,166967.1328580967,0.6838973761867642
A1,1,0.3,614,200,3411.35527,3383.8235,3657.71375,5189.16707999998,2889.58024,7651.11,0,182030.5970070605,179987.11696773817,0.7372272310998556
A1,4,0.067,549,200,2891.6884499999996,2812.801,3439.566899999998,4604.057459999989,2389.082885,5968.95,0,192304.89821361573,189854.4775803908,0.7776439401692807
A1,4,0.134,1098,200,5933.504035,5772.644,6406.463649999998,11889.997329999998,4897.941065,12171.437,0,188420.05318796771,185050.85587255357,0.7579683056539793
A1,4,0.3,2458,200,13128.047189999997,13345.32,16968.32594999999,19501.69409,11067.756435,19583.65,0,190294.45734046714,187232.72124374504,0.7669052262143797
A1,16,0.067,2195,200,11268.239850000002,10630.639,14035.055749999994,18160.506059999996,9425.513444999999,18326.973,0,197968.23341958664,194795.2856186319,0.7978814898939162
A1,16,0.134,4391,200,25792.07479,24495.646999999997,30779.9125,36984.644739999996,21828.908260000004,41154.375,0,172100.70077425783,170246.0944205412,0.6973280027465367
A1,16,0.3,9830,200,67974.37753499999,60432.5105,90581.58885,94564.50089999998,55948.33443,99954.093,0,151137.51138692733,144613.31396434686,0.5923361339979647
A1,64,0.067,8782,200,79392.93259000001,79169.2065,87334.2613,90647.34675999999,63893.31652000001,96468.232,0,110995.0711764197,110614.37981327501,0.4530764997151744
A1,64,0.134,17564,200,164537.75338500002,164485.741,175165.13559999998,181707.99208999999,132721.682005,193429.175,200,106922.20039050301,106747.5375022424,0.4372379136091849
A1,64,0.3,39322,200,306764.76476,354594.385,382219.2091,388457.13338,249844.523545,393533.855,200,135493.68931471603,128182.90924240892,0.5250371962569069
B1,1,0.067,137,200,230.30883000000003,222.67649999999998,278.22599999999994,303.42121999999995,55.70832,320.505,0,600455.8585688936,594853.440921045,2.4365196940126004
B1,1,0.134,274,200,325.84096999999997,320.7475,372.216,397.40432999999985,104.80064999999999,431.76,0,845157.0324406321,840901.0076295808,3.4443305272507634
B1,1,0.3,614,200,592.806735,586.597,645.10105,706.2773199999998,206.18493499999997,991.149,0,1039565.3097189302,1035750.7156189781,4.242434931175335
B1,4,0.067,549,200,533.511705,528.738,590.87675,624.6025599999999,177.63273,660.821,0,1032258.8143980013,1029030.8438499958,4.214910336409583
B1,4,0.134,1098,200,944.3843299999999,934.639,1016.9713499999999,1067.92783,335.16751000000005,1081.081,0,1164506.1684808221,1162662.2394295763,4.762264532703545
B1,4,0.3,2458,200,1971.516595,1967.4344999999998,2052.2711,2083.43317,748.3067499999999,2175.568,0,1247440.5157616693,1246755.927002481,5.1067122770021625
B1,16,0.067,2195,200,1784.25483,1776.0375,1879.7096,1927.04269,767.6678750000001,2085.494,0,1231270.0867066337,1230205.4410019447,5.038921486343965
B1,16,0.134,4391,200,3454.775345,3454.321,3558.6893,3601.85847,1479.001885,3623.522,0,1271375.5208067587,1270994.3662053081,5.205992923976942
B1,16,0.3,9830,200,7541.33241,7537.690500000001,7698.909699999999,7810.45208,2914.169135,7899.489,0,1303724.972261102,1303483.1864678406,5.339067131772276
B1,64,0.067,8782,200,6792.976900000001,6788.178,6948.0065,7027.564439999999,2884.1936049999995,7659.155,0,1293099.4659775372,1292805.8094824376,5.295332595640064
B1,64,0.134,17564,200,13456.440079999998,13452.539,13690.7166,13762.63794,5353.96335,13814.702,0,1305382.9968115499,1305248.6315533759,5.346298394842628
B1,64,0.3,39322,200,30040.275845,30032.379500000003,30401.2598,30574.326950000002,11799.761685000001,31871.744,0,1309072.600329672,1308975.996188959,5.361565680389976
B2,1,0.067,137,200,229.393885,221.33999999999997,276.1252499999999,310.01907999999986,54.835345,335.498,0,602724.2026732768,597226.0332920382,2.4462378323641887
B2,1,0.134,274,200,322.552335,317.1805,366.0702,376.6690199999999,91.50946499999998,391.871,0,853116.7303771102,849474.5511608217,3.4794477615547255
B2,1,0.3,614,200,584.692495,580.5509999999999,634.6599,663.2477799999999,195.807445,691.319,0,1052229.6448620257,1050124.6471446499,4.301310554704486
B2,4,0.067,549,200,529.0048149999999,523.309,579.08125,600.4550099999998,178.001175,654.986,0,1040541.8482886085,1037797.737247439,4.25081953176551
B2,4,0.134,1098,200,947.00728,933.9565,1018.6057999999999,1053.7787499999997,336.73466499999995,1717.975,0,1163413.5141535266,1159441.984437543,4.749074368256176
B2,4,0.3,2458,200,1967.83201,1960.9095000000002,2057.9619500000003,2135.33996,742.7483550000001,2170.229,0,1249915.3557890116,1249090.363155542,5.1162741274851
B2,16,0.067,2195,200,1765.4062700000002,1762.4544999999998,1855.7689,1890.3226599999996,666.654225,1932.808,0,1244262.6745036412,1243339.8687317453,5.092720102325228
B2,16,0.134,4391,200,3437.7766149999998,3440.7915,3553.1787499999996,3583.54931,1404.4864150000003,3615.287,0,1277718.843412147,1277279.0357700423,5.231734930514094
B2,16,0.3,9830,200,7548.730345,7524.777,7715.36215,7819.361419999995,2921.12652,9995.018,0,1303038.5303184446,1302205.7419909071,5.333834719194755
B2,64,0.067,8782,200,6768.301474999999,6757.879999999999,6937.5746500000005,7062.46166,2763.5130550000003,7597.018,0,1297875.0375440186,1297519.0352318047,5.314637968309472
B2,64,0.134,17564,200,13426.128655,13411.83,13657.85015,13692.39814,5174.25506,14356.64,0,1308333.051767417,1308195.4188975405,5.358368435804326
B2,64,0.3,39322,200,29926.27319,29915.6645,30316.8921,30484.23945,11871.500030000001,30766.239,0,1314050.150455726,1313962.475392346,5.381990299207049
A2,1,0.067,137,200,884.2448249999999,858.556,978.8974499999999,2008.5221899999938,726.7625149999999,3946.341,0,161077.28673631296,154934.46625486334,0.6346115737799202
A2,1,0.134,274,200,6400.718815,1509.694,1836.5368999999998,3608.36451999998,1240.29072,966608.91,1,177039.09534332968,42807.6920607549,0.17534030668085204
A2,1,0.3,614,200,3230.3076,3140.041,3508.7437999999997,6126.995929999994,2588.6150700000003,7095.978,0,192786.0729074358,190074.77801804384,0.7785462907619076
A2,4,0.067,549,200,2873.1273300000003,2827.5694999999996,3194.7807999999995,3366.8172799999825,2357.096455,5969.129,0,192871.15284106132,191080.9849140936,0.7826677142081273
A2,4,0.134,1098,200,5684.03229,5499.9245,6319.99155,11857.665979999998,4578.21958,12329.585,0,196372.19788861237,193172.7238657189,0.7912354769539847
A2,4,0.3,2458,200,12490.315359999999,11466.7245,18669.984599999996,19611.183549999998,10481.643785,24558.431,0,201682.86182938426,196792.46913746462,0.8060619535870551
A2,16,0.067,2195,200,11283.50776,10387.3515,15663.456899999985,18100.61327999997,9432.524825,23672.879,0,199428.55122617318,194531.70474001605,0.7968018626151058
A2,16,0.134,4391,200,25189.09537,23996.345999999998,30191.88865,30676.99169,21390.818854999998,36151.532,0,176007.9568020752,174321.4647251542,0.7140207195142316
A2,16,0.3,9830,200,56450.24356,53870.365000000005,64977.58545,66008.50288,47702.44764499999,69986.067,0,174950.13097572065,174135.65256900724,0.7132596329226537
A2,64,0.067,8782,200,61480.246524999995,54346.2225,83128.9196,88949.88866999999,50258.847005,91829.877,0,148963.36079907094,142842.62826481892,0.5850834053726983
A2,64,0.134,17564,200,155665.8127,155130.37,168590.60825,176734.51136,122656.92640999999,188233.436,200,113076.80648474235,112831.45409615042,0.46215763597783216
A2,64,0.3,39322,200,341824.02105499996,347417.75800000003,370268.8342,376242.84061,269499.37927000003,382383.364,200,116376.0147852202,115035.80081539393,0.47118664013985356
