backend,request_batch,miss_rate,n_reads,io_size,queue_depth,round,submit_us,completion_us,bytes_read,correct,direct_path,error,phase,submission_group
Tutti-deployed,1,0.067,137,4096,256,0,3390.534,3521.516,561152,true,gpu_nvme_kernel,,2,16
Tutti-deployed,1,0.067,137,4096,256,0,103.651,242.634,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,1,91.27,262.728,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,2,75.714,227.658,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,3,88.672,262.593,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,4,69.587,221.047,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,5,60.343,212.645,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,6,66.672,267.741,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,7,59.826,225.069,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,8,57.199,287.346,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,9,50.535,209.795,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,0,56.711,225.088,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,1,51.716,214.567,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,2,54.962,231.101,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,3,53.104,212.578,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,4,61.662,246.098,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,5,53.81,239.871,561152,true,gpu_nvme_kernel,,1,16
